,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue
284,Praya,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
297,Palu,ID,87.57,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
302,Loandjili,CG,75.65,moderate rain,-4.7561,11.8578,Le Raphia Guest House
306,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Cape Garden
308,Mount Gambier,AU,77.67,light rain,-37.8333,140.7667,The Old Mount Gambier Gaol
309,Isla Mujeres,MX,73.45,light rain,21.2311,-86.731,Villa La Bella
311,Alta Floresta,BR,70.02,light rain,-9.8756,-56.0861,Villas Hotel
317,Kralendijk,BQ,73.38,clear sky,12.15,-68.2667,Hotel Bonaire Inn
319,Oussouye,SN,73.58,clear sky,12.485,-16.5469,Campement Alulum
321,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
325,Sungaipenuh,ID,71.6,broken clouds,-2.0833,101.3833,Hotel Matahari
334,Areia Branca,BR,78.24,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
337,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Hôtel 6500 CFA
338,Kapoeta,SS,77.31,light rain,4.7717,33.5903,Kuleu
341,Sao Felix Do Xingu,BR,71.17,overcast clouds,-6.6447,-51.995,Hotel Terraço
343,Parana,AR,76.55,moderate rain,-31.732,-60.5238,Grand Hotel Alvear
345,Sao Filipe,CV,75.67,clear sky,14.8961,-24.4956,Bela Vista
351,Fare,PF,79.57,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
352,Maraba,BR,77.18,light rain,-5.3686,-49.1178,Portobelo
357,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
363,Muisne,EC,74.25,overcast clouds,0.6,-80.0333,Hostal Té de Menta
367,Catuday,PH,80.24,overcast clouds,16.2923,119.8062,Nina Anchors Inn
370,Luganville,VU,84.07,moderate rain,-15.5333,167.1667,Beachfront Resort
376,Sanchor,IN,77.76,clear sky,24.7553,71.7722,Hotel Kaushal International
389,Pochutla,MX,71.82,clear sky,15.7432,-96.4661,Hotel El Patio
392,Camopi,GF,70.36,broken clouds,3.1655,-52.3158,Chez Lucia
397,Pangkalanbuun,ID,87.4,overcast clouds,-2.6833,111.6167,Hotel Tiara
399,Santiago Del Estero,AR,85.03,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
406,Rio Brilhante,BR,74.48,overcast clouds,-21.8019,-54.5464,Gold Hotel
411,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
412,Dwarka,IN,78.1,clear sky,22.2394,68.9678,The Dwarika Hotel
413,San Juan,AR,84.31,clear sky,-31.5375,-68.5364,Hotel San Francisco
414,Saint-Georges,GD,73.96,overcast clouds,12.0564,-61.7485,Deyna's City Inn
419,Ranong,TH,84.13,overcast clouds,9.9658,98.6348,Rattana Sin Hotel
421,Sijunjung,ID,85.91,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
424,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
425,Rivadavia,AR,79.56,clear sky,-33.1905,-68.4608,Hotel Pasambay
430,Celestun,MX,74.68,clear sky,20.8667,-90.4,Hotel Flamingo Playa
442,Jacareacanga,BR,73.89,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
443,Loikaw,MM,80.51,clear sky,19.6742,97.2094,Nawaday Hotel
444,Cockburn Town,TC,77.02,clear sky,21.4612,-71.1419,The Salt Raker Inn
451,Tarauaca,BR,71.15,broken clouds,-8.1614,-70.7656,Hotel Estrela
463,Bubaque,GW,80.67,clear sky,11.2833,-15.8333,Chez Julio
470,Bowen,AU,84.15,broken clouds,-20.0167,148.2333,Whitsunday Sands Resort
473,Presidente Franco,PY,75.96,clear sky,-25.5333,-54.6167,Tia Nancy
482,Kendari,ID,89.06,overcast clouds,-3.945,122.4989,Hotel Agung
