City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Haines Junction,CA,2022-12-08 23:04:40,60.7522,-137.5108,12.38,95,100,3.22
68,Port Hardy,CA,2022-12-08 23:00:16,50.6996,-127.4199,40.48,74,73,7.76
69,Juneau,US,2022-12-08 23:04:40,58.3019,-134.4197,35.22,94,75,17.27
70,Thompson,CA,2022-12-08 23:00:11,55.7435,-97.8558,-22.05,96,23,2.06
71,East London,ZA,2022-12-08 23:04:41,-33.0153,27.9116,74.16,94,99,20.98
72,Athabasca,CA,2022-12-08 23:00:15,54.7169,-113.2854,13.08,91,96,5.77
73,Avera,US,2022-12-08 23:04:41,33.194,-82.5271,69.31,70,26,4.36
74,Qaanaaq,GL,2022-12-08 23:04:42,77.484,-69.3632,18.73,76,100,14.12
75,Villa Rica,US,2022-12-08 23:04:42,33.7321,-84.9191,71.38,89,52,4.38
76,Norman Wells,CA,2022-12-08 23:04:42,65.282,-126.8329,-7.92,96,100,2.1
77,Castro,BR,2022-12-08 23:04:43,-24.7911,-50.0119,68.77,82,47,4.21
78,Tateyama,JP,2022-12-08 23:04:43,34.9833,139.8667,50.09,76,88,11.63
79,Bethel,US,2022-12-08 23:04:44,41.3712,-73.414,47.48,65,0,5.01
80,Paracuru,BR,2022-12-08 23:04:44,-3.41,-39.0306,81.1,78,71,11.63
81,Rosetown,CA,2022-12-08 23:04:45,51.5501,-108.0014,10.65,95,46,4.45
82,Saint-Joseph,RE,2022-12-08 23:04:45,-21.3667,55.6167,73.78,83,14,12.15
83,Mataura,NZ,2022-12-08 23:04:45,-46.1927,168.8643,63.48,55,100,1.23
84,Atherton,GB,2022-12-08 23:04:46,53.5237,-2.4935,33.42,84,48,1.99
85,Talnakh,RU,2022-12-08 23:04:46,69.4865,88.3972,-10.59,97,93,1.74
86,Praia Da Vitoria,PT,2022-12-08 23:04:47,38.7333,-27.0667,57.76,90,49,15.41
87,Anshun,CN,2022-12-08 23:04:47,26.25,105.9333,41.76,83,100,5.5
88,Pangnirtung,CA,2022-12-08 23:04:47,66.1451,-65.7125,17.6,73,100,4.61
89,Orange Cove,US,2022-12-08 23:00:10,36.6244,-119.3137,58.6,71,20,0.0
90,Tiksi,RU,2022-12-08 23:04:48,71.6872,128.8694,-11.79,100,100,2.73
91,Noumea,NC,2022-12-08 23:04:48,-22.2763,166.4572,85.98,99,2,5.17
92,Port Blair,IN,2022-12-08 23:04:49,11.6667,92.75,77.04,94,75,2.3
93,Lisakovsk,KZ,2022-12-08 23:04:49,52.5369,62.4936,2.16,86,60,7.36
94,Upernavik,GL,2022-12-08 23:04:49,72.7868,-56.1549,31.75,78,100,17.11
95,Yulara,AU,2022-12-08 23:05:50,-25.2406,130.9889,88.52,13,28,18.32
96,Kuito,AO,2022-12-08 23:05:50,-12.3833,16.9333,57.24,92,100,4.32
97,Udomlya,RU,2022-12-08 23:05:51,57.8794,34.9925,29.14,90,99,8.01
98,General Pico,AR,2022-12-08 23:01:39,-35.6566,-63.7568,89.73,22,0,9.55
99,Chokurdakh,RU,2022-12-08 23:05:51,70.6333,147.9167,-23.19,99,98,4.56
